	Job Category																														
CV Headlines	Industry	Functional Area	Operations/Role Category	Job Role	SkillSet	Responsibilities/Job description	Experience	Job Title/Requirement	Label	Remarks	Domain																				
Weblogic administrator with 12 years of experience	IT/Hardware & Computing	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"
Oracle Web Logic Server 10g/11g Administration,Middleware performance tuning,Oracle Fusion Middleware,shell scripting,Python scripting and J2EE development.
"	"* Strong Professional experience in Oracle Web Logic Server 10g/11g Administration, Security Implementation, and Performance Tuning, Java troubleshooting, Monitoring, Application Deployment on SIT,DEV & Production Support environments.
* Good knowledge in designing and configuring Clustering, Load balancing, High Availability JMS Servers, Queues, Topics, Distributed Destination, Foreign JMS providers, Message Bridges, JDBC connection pools, Data Sources.
* Managing and Monitoring the JVM Performance by adjusting Web Logic heap size and garbage collection parameters and Implemented performance tuning for Web applications.
* Good Knowledge in installation, configuration and maintenance of Apache server and Configuring Web Logic Plug-ins for Apache Web Server including setup of Secure Sockets Layers (SSL) for data encryption and client authentication using digital certificates and java key tool for secured applications
* Strong Experience in Creating and Configuring Web Logic Domains and automation of domain creation using WLST and Domain Templates and integrating the Web Logic with LDAP and have broad experience in configuring and managing security realm for
    users and groups.
* Experienced in deploying different applications like WAR files, EJB jars files and enterprise application archives (EAR) on Web Logic using various deployment tools ( Console, weblogic .Deployer, and WLST)
* Task automation, System monitoring, Performance tuning and Root cause analysis of production issues
* Configured JDBC connection pools, Data Sources and troubleshooting & monitoring the JDBC systems and Configured Node Manager and managed the server lifecycles remotely.
* Good communication skills, strong problem solving skills"	4-9yrs	Urgent openings for Weblogic Administrator with SOA 	Match																			Accounting / Finance	Architecture / Interior Design	Admin/Maintenance/Security/Datawarehousing	.Net Developer
Weblogic administrator with 4 years of experience	IT/Hardware & Computing	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Unix, Linux, Solaris, Shell Scripting, Apache, Application Server, Weblogic Web Server, Splunk, HTTP, weblogic admin"	"Knowledge on Application server (WebLogic)
Knowledge in webserver (Apache HTTP Server/ SunOne Web Server)
Knowledge on UNIX / Solaris / Linux
Basic knowledge on monitoring tools e.g. Splunk
Basic knowledge on Shell Scripting
Good understanding on ITIL V3
Good communication skills (Verbal & Written)"	3-6yrs	Required Weblogic Admin @ Bangalore -virtusa Polaris	Match																			Advertising / MR / PR / Events	Embedded / System Software	Architectural Services	Analyst
Weblogic Administrator / Specialist-17000MYZ	IT/Hardware & Computing	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Required Skills & Experience:
·         Relevant Industry experience of 5 to 8 years
·         BE / B.Tech (or equivalent degree) in Computers Science, Engineering or Information Systems
·     Weblogic-11g Application Server Installation, Configuration, Administration & Troubleshooting
· Oracle Application Server 10g (iAS) Installation, Configuration, Administration & Troubleshooting
·         SOA Suite administration (BPEL & WSM)
·         Oracle Internet Directory (OID) & IDM administration & troubleshooting
·         Oracle Secure Enterprise Search administration (SES) Administration
·         Experience with Big IP and / or other Load Balancer
·         Hands-on experience and Knowledge of Oracle Enterprise Manager (EM) 11g & 12c
·      LINUX/UNIX systems administration & good skill of shell scripting, perl, python
·   Oracle DB Knowledge - User and basic DBA skills using SQL*Plus, checking listener and related troubleshooting
 ·   Proven technical troubleshooting skill with drive-in skill of leading and resolving hard issues
·         Excellent communication and documentation skills
·         Highly motivated and to work in team & deliver without close supervision
Excellent Analytical skills
Job Requirement:
To work with integrated & global team to support operations and help on various projects in support of production systems and monitoring & handling Sev1 process for various applications supposed by our group.
Additional Details:
• We are looking for an experienced Weblogic engineer to join the PDIT team to help install, configure, maintain & troubleshooting in support of Oracle Fusion and other applications
• Knowledge and working experience on Microsoft Project is desirable."	"Department Description:
PDIT builds, provisions, and maintains the key infrastructure necessary to allow our product development teams to design, build, test and release Oracle products and technologies at an ever increasing pace to meet market needs.  PDIT also maintains some of the key components of Oracle's business operations infrastructure including email, marketing, sales, financials and customer support applications.  In addition, PDIT also builds, provisions and deploys the infrastructure worldwide in support of Oracle's Public Cloud product and service offerings.
Brief Posting Description:
This posting is for a candidate to join PDIT @ Oracle. The position involves application support, maintenance, troubleshooting, debugging of 24x7 production systems including various test systems and legacy application in sphere of Middleware technology pertaining to applications.
Detailed Description:
As a member of Production Operations, you will be engaged and actively involved in up-keep of the various applications, involved in various projects for update and maintenance of the applications with the scope of middle-ware technology and will be responsible for managing, troubleshooting & debugging the application issues and will be responsible to update the knowledge base repository to be referred subsequently.
 
You will also be required to participate in Sev-1 On-Call & Monitoring coverage for various application supported by our group on a rotational basis. This is part of our operating model as we manage and support 24x7 applications and various customers and clients. This does not involve working in night-shift, however it involves working in weekend sometimes.
You will also participate in various enhancement projects and work with cross-functional team(s) to attend meetings, document steps, execute and deliver on tasks related to middle-ware space pertaining to application systems, be it upgrade, performance tuning , optimization, sizing etc
Detailed Description and Job Requirements
 Work with a world class team to provide enterprise-wide, Oracle Database Administration support for production systems and provide DBA services to application development teams, including database design, database generation, coding, and database production support. Provide DBA support with a high degree of customer service, technical expertise, and timeliness. Provide accurate and creative solutions to user problems of moderate nature to ensure user productivity.
Provide Development and/or Production support. This includes creating primary database storage structures, designing and creating primary objects, modifying database structure as necessary for enhancements or performance, creating documentation, designing interfaces, database objects, and creating plans. Monitor and optimize performance of the database, plan for backup and recovery of the database, and allocate system storage and plan future storage needs. Create database-related scripts and programs to support development and production environments. Research, evaluate, design, test, recommend, and plan implementation of new or improved RDBMS, ETL and database tools.
Job duties are varied and complex utilizing independent judgment. May have project lead role. 5 years of experience supporting relational databases as a DBA, with multiple distributed relational DBSM*s or a depth and focus in Oracle and related tools. Exposure and practice at using the DBMS to optimize performance of large databases for enterprise use is preferred. Experience with an organization with a key 24 X 7 reliance on its database is desirable. BS or equivalent desired."	5-8 years	Weblogic Administrator / Specialist-17000MYZ	Match		today	12:00																Advertising / PR / MR / Event Management	"Engineering Design, R&D"	Category: Technical Support	Application Developer
Weblogic Administrator with SOA	IT/Hardware & Computing	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Certification: Primary: Oracle Weblogic Server 11g or 12c, If no Weblogic then would prefer AWS Cloud SysOps/Architect or atleast any one relevant IT certification
Potential Candidates must match the following:
Total Industry Experience: 8+ Years
Relevant Experience: 7+ Years
Technical Requirements:
    Weblogic administration of 11g/12c versions on a Linux Platform
    Must have weblogic installation and hands on weblogic domain experience
    Must have handled Node Manager, JMS, Clustering, other data sources
    4-6+ years of technical experience with increasing responsibility
    Deployment and Troubleshooting of JAR, WAR and EAR Files
    Troubleshooting logs, Thread Dump Analysis, Heap dump analysis, Core Dump Analysis , GC log analysis
    Developing automation scripts for weblogic monitoring and administration
    Usage of weblogic utilities like WebLogic.Admin, WebLogic.Deployer, WLST
    Experience managing large instances, including Production Instances and support Production Issues , Determine Root Cause for Critical Issues
    Manage fixing Performance Issues in Production Env, Apply Patches and Service Packs
    Configuring the JDBC & JMS resources in web logic
    Configuring of Data sources, Pool Connections and troubleshooting to fixing up problems
    Expertise in Installation and Configuration of Apache HTTP Web server
    Experience in configuring and managing secured environments using SSL and digital certificates, LDAP, Security realms and Work Managers
    Lead a team of atleast 5+ members
    Linux (Redhat, Centos) Commands and shell scripting
Requirements- Communication, Problem Solving, Behavioural Skills:
    Must have strong written and verbal communication skills
    Great Attitude to daily problems and helping Nature
    Good in problem solving & analytical skills
    Advanced knowledge of problem solving tools and techniques
    Perform and collect data required to solve complex system and component problems
    Experience working in a professional and consulting environment preferred
    Must have excellent organizational and project management skills"	"We are looking for seasoned, dynamic & enthusiastic candidates to participate in the growth of our group with offices located in Hyderabad & Visakhapatnam"	8+ years	Urgent openings for Weblogic Administrator with SOA	Match																			Architecture / Interior Design	"Financial Services , Banking , Investments , Insurance"	Channel Sales	Architect
WEBLOGIC ADMINISTRATION	IT/Hardware & Computing	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator		"Expereince in weblogic Administration
Expereince in JBOSS
Expereince in Linux Or Unix framework
Good communication skills."		WEBLOGIC ADMINISTRATION	Match																			Automobile / Auto Anciliary / Auto Components	"IT Hardware, Technical Support, Telecom Engineering"	Corporate Sales	Associate/Senior Associate -(NonTechnical)
Weblogic Administrator Lead	IT/Hardware / Networking	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	Dbaas Oracle infrastructure supp t f Oracle utilities 	This position is responsible to install configure performance tune patch backup manage and troubleshoot Oracle JCS Oracle OTD Oracle Dbaas Oracle WebLogic 12C OWSM Oracle and SOA 12C and provide infrastructure support for Oracle utilities.	3-7 years	Weblogic Administrator Lead	Match																			Banking / Financial Services / Broking	IT Information Technology	Engineering	Bid Manager
Weblogic Administrator	IT/Hardware / Networking	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	Weblogic weblogic admin weblogic administration 	"Seven to Eight years of Core technical experience on following technologies Should have production environment knowledge in weblogic application server administration Should have worked in Unix environment  Should have worked in clustering  Should have experience in webservers like Apache, Iplanet Should have strong knowledge in SSL and SSO configuration Should be strong in ITIL process Should have people management skills. Should have worked as SME"	7-8 years	Weblogic Administrator	Match																			BPO / Call Centre / ITES	IT Software	Engineering Design	Business Analyst
Weblogic Administrator	IT/Hardware / Networking	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Strong knowledge in SSL, SSO Configuration"	"New Domain Configuration
weblogic performance tuning and troubleshooting
Server Migration
Upgrading the Weblogic Version
WLST Scripting
Handling Severity 2/1 calls
Creating DR environment
- should have worked in Unix environment
- should have worked in clustering
- should have experience in webservers like Apache, Iplanet
- should have strong knowledge in SSL and SSO configuration"	5-8 years	Weblogic Administrator	Match																			Ceramincs / Sanitary ware	"IT Software - Application Programming, Maintenance"	IT Hardware	Customer Support Engineer/Technician
soa/weblogic Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"pening for 'SOA/Weblogic Admin' in a product based MNC Company@ Bangalore
Required Details:
Possesses and applies a comprehensive knowledge of SOA platform implementation and administration using Weblogic, SOA Suite 11g/12c , OSB 12c , BPEL and CI tools (Hudson/Jenkins) etc.
* SOA 11g/12c, BPEL,BAM,OSB ,Web services/WCF, Python scripting, Weblogic etc.
* Knowledge of SQL server2008, Oracle (PL/SQL in 10G/11G Environments)
* Working knowledge of web development, Oracle database and related technologies Working Knowledge of Chep, Puppet and other Cloud CI tools is good to have"	5-10 years	Opening for 'soa/weblogic Admin'in a Product Based MNC Company	Match																			Chemicals / PetroChemical / Plastic / Rubber	IT Software - Client Server	"IT Software - Application Programming, Maintenance"	Data & Analytics
Weblogic Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Team Lead/Technical Lead	Unix Linux Solaris Shell Scripting Apache Application Server Weblogic Web Server Splunk HTTP weblogic admin	"Knowledge on Application server (WebLogic)
Knowledge in webserver (Apache HTTP Server/ SunOne Web Server)
Knowledge on UNIX / Solaris / Linux
Basic knowledge on monitoring tools e.g. Splunk
Basic knowledge on Shell Scripting
Good understanding on ITIL V3
Good communication skills (Verbal & Written)
Willing to work in shifts"	3-6 years	Required Weblogic Admin @ Bangalore -virtusa Polaris - 6 Opening(s)	Match																			Construction / Engineering / Cement / Metals	IT Software - Client/Server Programming	IT-Hardware	Database Administrator
 Weblogic Middleware Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	Weblogic	"Understand Architecture Requirements and ensure effective Support activities.
Good understanding of the technology and domain.
Ability to lead a team towards a desired goal "	3-8 years	 Weblogic Middleware Admin( 2 to 12 Years)	Match																			Consumer Electronics / Appliances / Durables	"IT Software - DBA, Datawarehousing"	Mutual Funds/Fund Management/Asset Management	Database Architect/Designe
Jboss Admin with Weblogic	IT-Software / Software Services	IT Software - Middleware	Programming & Design	Software Developer	"Jboss, Weblogic"	We are hiring for JBOSS Admin with Weblogic.		Jboss Admin with Weblogic-bangalore	Match																			Courier / Transportation / Freight / Warehousing	"IT Software - eCommerce, Internet Technologies"	Other	Database Architect/Designer
Weblogic Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"JMS, JMX, JDBC, Weblogic Server, Server Administration, weblogic administration, weblogic adminstrator"	"Weblogic server admin with Configuring JDBC, JMS, JTA, JMX, Securities
Immediate joinee candidate needed
only shortlisted candidate ready to take face to face interview on 30th may 2017 tuesday "	7-12 years	Opening for Weblogic Admin	Match																			Education / Teaching / Training	"IT Software - Embedded, EDA, VLSI, ASIC, Chip Design"	Pre Sales	DBA
